id,season,week,pickstring,poolerid
0,2022,1,"{""1628388"": ""LA"", ""1628389"": ""NO"", ""1628390"": ""CAR"", ""1628391"": ""SF"", ""1628392"": ""CIN"", ""1628393"": ""PHI"", ""1628394"": ""IND"", ""1628395"": ""MIA"", ""1628396"": ""BAL"", ""1628397"": ""JAX"", ""1628398"": ""ARI"", ""1628399"": ""LV"", ""1628400"": ""GB"", ""1628401"": ""TEN"", ""1628402"": ""TB"", ""1628403"": ""DEN""}",1
1,2022,1,"{""1628388"": ""LA"", ""1628389"": ""NO"", ""1628390"": ""CAR"", ""1628391"": ""SF"", ""1628392"": ""PIT"", ""1628393"": ""PHI"", ""1628394"": ""IND"", ""1628395"": ""MIA"", ""1628396"": ""BAL"", ""1628397"": ""JAX"", ""1628398"": ""KC"", ""1628399"": ""LAC"", ""1628400"": ""GB"", ""1628401"": ""TEN"", ""1628402"": ""TB"", ""1628403"": ""SEA""}",2
2,2022,1,"{""1628388"": ""LA"", ""1628389"": ""NO"", ""1628390"": ""CLE"", ""1628391"": ""SF"", ""1628392"": ""CIN"", ""1628393"": ""PHI"", ""1628394"": ""HOU"", ""1628395"": ""MIA"", ""1628396"": ""BAL"", ""1628397"": ""WAS"", ""1628398"": ""KC"", ""1628399"": ""LAC"", ""1628400"": ""MIN"", ""1628401"": ""TEN"", ""1628402"": ""TB"", ""1628403"": ""DEN""}",3
3,2022,1,"{""1628388"": ""BUF"", ""1628389"": ""NO"", ""1628390"": ""CAR"", ""1628391"": ""CHI"", ""1628392"": ""CIN"", ""1628393"": ""PHI"", ""1628394"": ""IND"", ""1628395"": ""MIA"", ""1628396"": ""BAL"", ""1628397"": ""WAS"", ""1628398"": ""KC"", ""1628399"": ""LAC"", ""1628400"": ""GB"", ""1628401"": ""TEN"", ""1628402"": ""TB"", ""1628403"": ""DEN""}",4
4,2022,2,"{""1628404"": ""KC"", ""1628416"": ""LV"", ""1628405"": ""BAL"", ""1628406"": ""CLE"", ""1628407"": ""WAS"", ""1628408"": ""IND"", ""1628409"": ""TB"", ""1628410"": ""CAR"", ""1628411"": ""PIT"", ""1628412"": ""LA"", ""1628413"": ""SF"", ""1628414"": ""DAL"", ""1628415"": ""DEN"", ""1628417"": ""CHI"", ""1628418"": ""BUF"", ""1628419"": ""MIN""}",4
5,2022,2,"{""1628404"": ""KC"", ""1628416"": ""LV"", ""1628405"": ""MIA"", ""1628406"": ""CLE"", ""1628407"": ""DET"", ""1628408"": ""IND"", ""1628409"": ""TB"", ""1628410"": ""CAR"", ""1628411"": ""PIT"", ""1628412"": ""LA"", ""1628413"": ""SEA"", ""1628414"": ""CIN"", ""1628415"": ""DEN"", ""1628417"": ""GB"", ""1628418"": ""BUF"", ""1628419"": ""MIN""}",1
6,2022,2,"{""1628404"": ""KC"", ""1628416"": ""ARI"", ""1628405"": ""BAL"", ""1628406"": ""CLE"", ""1628407"": ""WAS"", ""1628408"": ""IND"", ""1628409"": ""NO"", ""1628410"": ""NYG"", ""1628411"": ""PIT"", ""1628412"": ""LA"", ""1628413"": ""SEA"", ""1628414"": ""CIN"", ""1628415"": ""DEN"", ""1628417"": ""GB"", ""1628418"": ""BUF"", ""1628419"": ""MIN""}",3
7,2022,2,"{""1628404"": ""KC"", ""1628416"": ""LV"", ""1628405"": ""BAL"", ""1628406"": ""CLE"", ""1628407"": ""WAS"", ""1628408"": ""IND"", ""1628409"": ""NO"", ""1628410"": ""CAR"", ""1628411"": ""PIT"", ""1628412"": ""LA"", ""1628413"": ""SF"", ""1628414"": ""CIN"", ""1628415"": ""DEN"", ""1628417"": ""GB"", ""1628418"": ""BUF"", ""1628419"": ""MIN""}",2
8,2022,3,"{""1628420"": ""PIT"", ""1628421"": ""NO"", ""1628422"": ""CHI"", ""1628423"": ""KC"", ""1628424"": ""BUF"", ""1628425"": ""DET"", ""1628426"": ""BAL"", ""1628427"": ""CIN"", ""1628428"": ""TEN"", ""1628429"": ""PHI"", ""1628430"": ""LAC"", ""1628431"": ""ARI"", ""1628432"": ""ATL"", ""1628433"": ""TB"", ""1628434"": ""SF"", ""1628435"": ""DAL""}",4
9,2022,3,"{""1628420"": ""PIT"", ""1628421"": ""NO"", ""1628422"": ""CHI"", ""1628423"": ""KC"", ""1628424"": ""BUF"", ""1628425"": ""DET"", ""1628426"": ""BAL"", ""1628427"": ""CIN"", ""1628428"": ""LV"", ""1628429"": ""PHI"", ""1628430"": ""LAC"", ""1628431"": ""LA"", ""1628432"": ""SEA"", ""1628433"": ""GB"", ""1628434"": ""SF"", ""1628435"": ""NYG""}",1
10,2022,3,"{""1628420"": ""PIT"", ""1628421"": ""NO"", ""1628422"": ""CHI"", ""1628423"": ""KC"", ""1628424"": ""BUF"", ""1628425"": ""MIN"", ""1628426"": ""BAL"", ""1628427"": ""CIN"", ""1628428"": ""TEN"", ""1628429"": ""PHI"", ""1628430"": ""LAC"", ""1628431"": ""LA"", ""1628432"": ""SEA"", ""1628433"": ""TB"", ""1628434"": ""DEN"", ""1628435"": ""NYG""}",3
11,2022,3,"{""1628420"": ""CLE"", ""1628421"": ""NO"", ""1628422"": ""CHI"", ""1628423"": ""KC"", ""1628424"": ""BUF"", ""1628425"": ""MIN"", ""1628426"": ""BAL"", ""1628427"": ""CIN"", ""1628428"": ""LV"", ""1628429"": ""WAS"", ""1628430"": ""LAC"", ""1628431"": ""LA"", ""1628432"": ""SEA"", ""1628433"": ""GB"", ""1628434"": ""SF"", ""1628435"": ""NYG""}",2
12,2022,4,"{""1628436"": ""MIA"", ""1628437"": ""MIN"", ""1628438"": ""CLE"", ""1628439"": ""BUF"", ""1628440"": ""DAL"", ""1628441"": ""DET"", ""1628442"": ""LAC"", ""1628443"": ""TEN"", ""1628444"": ""NYG"", ""1628445"": ""PHI"", ""1628446"": ""PIT"", ""1628447"": ""ARI"", ""1628448"": ""GB"", ""1628449"": ""DEN"", ""1628450"": ""KC"", ""1628451"": ""LA""}",1
13,2022,4,"{""1628436"": ""MIA"", ""1628437"": ""NO"", ""1628438"": ""ATL"", ""1628439"": ""BAL"", ""1628440"": ""WAS"", ""1628441"": ""DET"", ""1628442"": ""HOU"", ""1628443"": ""TEN"", ""1628444"": ""CHI"", ""1628445"": ""JAX"", ""1628446"": ""PIT"", ""1628447"": ""CAR"", ""1628448"": ""GB"", ""1628449"": ""LV"", ""1628450"": ""TB"", ""1628451"": ""SF""}",4
14,2022,4,"{""1628436"": ""MIA"", ""1628437"": ""NO"", ""1628438"": ""CLE"", ""1628439"": ""BAL"", ""1628440"": ""DAL"", ""1628441"": ""DET"", ""1628442"": ""LAC"", ""1628443"": ""IND"", ""1628444"": ""CHI"", ""1628445"": ""PHI"", ""1628446"": ""PIT"", ""1628447"": ""CAR"", ""1628448"": ""GB"", ""1628449"": ""DEN"", ""1628450"": ""KC"", ""1628451"": ""SF""}",2
